Rowno,Count,Count,Row,Row,Row,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,11,11,"14,17,19,24,26,35,37,43,49,51,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,","14,17,19,24,26,35,37,43,49,51,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,",14,17,19,24,26,35,37,43,49,51,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,10,10,"1,4,5,10,24,28,30,44,51,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","1,4,5,10,24,28,30,44,51,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,4,5,10,24,28,30,44,51,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,10,10,"3,10,12,13,18,19,28,42,43,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","3,10,12,13,18,19,28,42,43,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",3,10,12,13,18,19,28,42,43,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,10,10,"4,5,12,19,21,36,37,39,43,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","4,5,12,19,21,36,37,39,43,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",4,5,12,19,21,36,37,39,43,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,10,10,"5,14,17,19,28,32,37,39,40,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","5,14,17,19,28,32,37,39,40,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",5,14,17,19,28,32,37,39,40,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,10,10,"7,13,15,20,22,35,37,38,46,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","7,13,15,20,22,35,37,38,46,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",7,13,15,20,22,35,37,38,46,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,9,9,"1,10,14,17,19,26,37,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","1,10,14,17,19,26,37,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,10,14,17,19,26,37,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,9,9,"1,17,19,33,37,39,40,44,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","1,17,19,33,37,39,40,44,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",1,17,19,33,37,39,40,44,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9,9,"3,12,14,20,22,24,35,38,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","3,12,14,20,22,24,35,38,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",3,12,14,20,22,24,35,38,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,8,8,"5,12,15,16,43,46,49,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","5,12,15,16,43,46,49,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",5,12,15,16,43,46,49,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,9,9,"12,19,20,22,24,37,43,44,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","12,19,20,22,24,37,43,44,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",12,19,20,22,24,37,43,44,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,9,9,"15,21,24,33,40,43,51,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","15,21,24,33,40,43,51,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",15,21,24,33,40,43,51,52,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,9,9,"15,19,20,21,28,31,35,36,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","15,19,20,21,28,31,35,36,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",15,19,20,21,28,31,35,36,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,9,9,"15,17,19,30,34,42,43,44,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","15,17,19,30,34,42,43,44,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",15,17,19,30,34,42,43,44,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,9,9,"19,26,32,33,37,40,42,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,","19,26,32,33,37,40,42,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",19,26,32,33,37,40,42,49,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
