Rowno,Word,Count,Row,Root,Percent observed agreement,Aggreement Percent (Complex),Aggreement Percent (Simple)
666,मार्केटिंग,2,"35,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",मार्केटिंग,0.9200680272,4.2553191489,95.7446808511
531,बँधतीं,1,",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9200680272,2.1276595745,97.8723404255
556,विविध,1,",38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",विविध,0.9200680272,2.1276595745,97.8723404255
587,रोशनी,1,",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",रोशनी,0.9200680272,2.1276595745,97.8723404255
617,सुझाव,1,",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",सुझाव,0.9200680272,2.1276595745,97.8723404255
658,बैठाना,1,"28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",बैठाना,0.9200680272,2.1276595745,97.8723404255
8,महाभिनिष्क्रम,1,"1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9591836735,2.1276595745,97.8723404255
10,दूब,1,"1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",दूब,0.9591836735,2.1276595745,97.8723404255
43,जकड़,1,"3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",जकड़,0.9591836735,2.1276595745,97.8723404255
48,घेर-घुमे,1,"3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9591836735,2.1276595745,97.8723404255
81,हृदय,1,"7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",हृदय,0.9591836735,2.1276595745,97.8723404255
85,दल,1,"7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",दल,0.9591836735,2.1276595745,97.8723404255
95,भरूच,1,"12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9591836735,2.1276595745,97.8723404255
98,हजीरा,1,"12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9591836735,2.1276595745,97.8723404255
99,पवन,1,"12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",पवन,0.9591836735,2.1276595745,97.8723404255
100,कुएँ,1,"12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",कुआँ,0.9591836735,2.1276595745,97.8723404255
110,इर्द-गिर्द,1,"12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",इर्द-गिर्द,0.9591836735,2.1276595745,97.8723404255
116,चुटकी,1,"13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",चुटकी,0.9591836735,2.1276595745,97.8723404255
117,आश्रम,1,"13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",आश्रम,0.9591836735,2.1276595745,97.8723404255
119,पत्थरों,1,"13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",पत्थर,0.9591836735,2.1276595745,97.8723404255
124,हु,1,"13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9591836735,2.1276595745,97.8723404255
126,वार्ता,1,"14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",वार्ता,0.9591836735,2.1276595745,97.8723404255
130,ढेले,1,"14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",ढेला,0.9591836735,2.1276595745,97.8723404255
131,कार्यवाही,1,"14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",कार्यवाही,0.9591836735,2.1276595745,97.8723404255
132,प्रकृति,1,"14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",प्रकृति,0.9591836735,2.1276595745,97.8723404255
135,घसीटना,1,"15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",घसीटना,0.9591836735,2.1276595745,97.8723404255
147,ताक,1,"16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",ताक,0.9591836735,2.1276595745,97.8723404255
148,नौबत,1,"16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",नौबत,0.9591836735,2.1276595745,97.8723404255
151,मदनजी,1,"16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,",,0.9591836735,2.1276595745,97.8723404255
