Rowno,Word,Count,Row,Root
258,दर्शन,2,"28,32",दर्शन
259,समाज,2,"28,32",समाज
260,देश,2,"28,32",देश
261,पता,2,"28,32",पता
262,क्या-क्या,2,"28,32",
263,सब,2,"28,32",सब
264,बेकार,2,"28,32",बेकार
265,बिना,2,"28,32",बिना
266,पैसे,2,"28,32",पैसा
268,कोई,2,"28,32",कोई
269,व्यवस्था,4,"28,32,33,51",व्यवस्था
270,मनुष्य,2,"28,32",मनुष्य
271,बना,2,"28,32",बन
272,सका,2,"28,32",सका
273,जहां,2,"28,32",जहां
274,भूमिका,4,"28,32,45,54",भूमिका
275,न,2,"28,32",न
276,स्थापित,3,"28,32,51",स्थापित
277,होगी,2,"28,32",
278,जो,2,"28,32",
279,चौहान,1,28,
280,साहब,1,28,साहब
281,को,3,"28,32,51",कै
282,पूरी,1,28,पूरी
283,बांधकर,3,"28,33,51",बाँध
284,मैंने,1,28,
285,पूरा,1,28,पूरा
286,किस्सा,1,28,किस्सा
288,काफी,2,"28,32",काफी
289,साथ,2,"28,32",साथ
290,सुनते,2,"28,32",
291,तब,1,28,तब
292,मछुआरों,4,"28,36,48,55",मछुआरा
293,कर्ज,1,28,कर्ज
294,उधर,1,28,उधर
295,देकर,1,28,
296,बनाने,1,28,
297,बढ़,1,28,
298,रही,1,28,
300,नदी,2,"28,32",नदी
301,किनारे,2,"28,32",किनारा
302,मछली,2,"28,32",मछली
303,कभी-कभी,2,"28,32",कभी-कभी
304,तक,2,"28,32",तक
305,हो,2,"28,32",
306,जाती,2,"28,32",जाती
308,बिखरी,2,"28,51",बिखरा
309,हुई-सी,1,28,
311,बनारस,1,28,बनारस
312,गलियों,1,28,गली
313,पतली,1,28,पतला
314,गलियाँ,1,28,गली
315,लखनऊ,1,28,लखनऊ
316,सडक़ों,2,"28,32",
317,चौड़ी,2,"28,32",चौड़ा
319,कर,2,"28,32",कर
320,लेती,1,28,
321,थी,2,"28,32",
322,अंश,1,28,अंश
323,उसमे,1,28,
324,इतना,2,"28,32",इतना
325,था,2,"28,32",
326,नौकर,1,28,नौकर
327,नौकरानी,1,28,नौकरानी
328,उससे,1,28,
329,अपना,1,28,अपना
330,सुख-दु:ख,1,28,
331,कह,1,28,
332,देते,1,28,
333,पढ़ाई,1,28,पढ़ाई
334,साथ-साथ,1,28,साथ-साथ
335,घर,1,28,घर
336,सारा,1,28,सारा
337,काम-काज,1,28,काम-काज
338,करते,1,28,कर
339,हुए,1,28,
340,उसका,2,"28,32",
341,कुछ,1,28,कुछ
342,बिगड़,1,28,
343,गया,1,28,गया
344,अपनी,1,28,
345,हिसाब,1,28,हिसाब
346,अधिक,1,28,अधिक
347,शान्त,1,28,शान्त
348,गम्भीर,1,28,गम्भीर
349,बुजुर्ग,2,"28,32",बुजुर्ग
350,मगर,2,"28,32",मगर
351,अपने,2,"28,32",
352,पापा,2,"28,32",पापा
353,चन्दर,2,"28,32",
354,दोनों,2,"28,32",दोन
355,सामने,2,"28,32",सामना
356,हमेशा,2,"28,32",हमेशा
357,बचपन,2,"28,32",बचपन
358,जाकर,1,28,जा
359,ध्यान-योग,1,28,
360,उसकी,1,28,
361,साथिन,3,"28,41,45",
362,सुधा,1,28,सुधा
363,आम,1,28,आम
364,घनी,1,28,घना
365,छाँह,1,28,छाँह
366,हरी-हरी,1,28,
367,दूब,1,28,दूब
368,सिर,1,28,सिर
369,नीचे,1,28,नीचा
370,हाथ,1,28,हाथ
371,रखकर,1,28,
372,लेटी,1,28,लेट
373,रहतीं,1,28,
374,दुनिया-भर,1,28,
375,बाते,2,"28,32",
377,बातों,1,28,बात
378,छोटी,1,28,छोटा
379,बड़ी,2,"28,32",बड़ी
380,किस,1,28,
381,तरह,1,28,तरह
382,करती,1,28,कर
383,थीं,2,"28,32",
384,यह,2,"28,32",
385,वही,1,28,
386,समझ,1,28,समझ
387,सकता,2,"28,32",
388,जिसने,1,28,
389,कभी,1,28,कभी
390,दो,1,28,दो
391,सहेलियों,1,28,सहेली
392,एकान्त,2,"28,45",एकान्त
393,सुनी,1,28,
395,गालिब,1,28,गालिब
396,शायरी,1,28,शायरी
397,लेकर,1,28,
398,उनके,1,28,
399,छोटे,1,28,छोटा
400,भाई,1,28,भाई
401,हसरत,1,28,हसरत
402,ने,2,"28,32",
403,कुत्ते,1,28,कुत्ता
404,पिल्ला,1,28,पिल्ला
405,पाला,1,28,पाला
406,सुनाया,1,28,सुना
407,इच्छा,1,28,इच्छा
408,आगे,1,28,आगा
409,लड़का,1,28,लड़का
410,झुक,1,28,
411,नगरी,1,28,नगरी
414,रह,1,28,
416,क्या,1,28,
418,उसने,2,"28,32",
419,बुढ़िया,2,"28,35",बुढ़िया
420,बाँहों,1,28,बाँह
421,छुड़ाने,2,"28,36",
422,कोशिश,1,28,कोशिश
423,उसे,1,28,
424,जकड़,2,"28,54",जकड़
425,रखा,1,28,
426,वह,2,"28,32",
427,छुड़ा,1,28,
428,पाया,1,28,पाया
429,सागर,2,"28,32",सागर
430,चलते-चलते,1,28,
431,बीता,1,28,बीता
432,समुद्र,2,"28,48",समुद्र
433,छोटी-बड़ी,1,28,
434,मछलियाँ,2,"28,36",मछली
435,दूसरे,1,28,दूसरा
436,जीव-जंतु,1,28,जीव-जंतु
437,आते,1,28,आ
438,किंतु,1,28,
439,उसके,1,28,
440,आने,1,28,आ
441,हिम्मत,1,28,हिम्मत
442,पाते,1,28,पा
443,दूर,2,"28,32",दूर
444,भाग,1,28,भाग
445,जाते,1,28,जा
446,बड़े,1,28,बड़ा
447,आनंद,1,28,आनंद
448,बढ़ता,1,28,बढ़ता
449,अंत,1,28,अंत
450,दिखाई,1,28,दिखाई
451,देता,1,28,
452,रात,1,28,रात
453,बिताई,1,28,
